filename,category,TRIG_SIG,class
SFLARE_bn120306227,test,6.0,SFLARE
GRB_bn220807581,test,4.8,GRB
TGF_bn150820373,train,5.8,TGF
TGF_bn160916837,train,5.6,TGF
SFLARE_bn230207835,train,6.5,SFLARE
GRB_bn100728095,test,4.5,GRB
TGF_bn121123712,train,7.1,TGF
GRB_bn230415867,other,0.0,GRB
TGF_bn131102608,train,6.8,TGF
TGF_bn230413676,train,5.7,TGF
TGF_bn121103428,test,5.7,TGF
SFLARE_bn141019731,test,5.3,SFLARE
SFLARE_bn140907814,test,5.5,SFLARE
TGF_bn141003298,test,6.5,TGF
SFLARE_bn150313244,other,0.0,SFLARE
TGF_bn101213283,train,6.5,TGF
GRB_bn170116238,other,0.0,GRB
GRB_bn140928437,train,5.4,GRB
GRB_bn121117018,train,4.5,GRB
GRB_bn130627372,other,0.0,GRB
SFLARE_bn100121450,train,6.1,SFLARE
SFLARE_bn110308764,test,5.8,SFLARE
SFLARE_bn130220232,train,5.5,SFLARE
SFLARE_bn131229328,train,4.6,SFLARE
SFLARE_bn140103637,train,5.9,SFLARE
SGR_bn230228885,train,6.8,SGR
GRB_bn240102125,test,5.6,GRB
TGF_bn201209268,train,6.6,TGF
GRB_bn120403857,train,5.2,GRB
TGF_bn151118409,test,4.9,TGF
SGR_bn210914594,test,9.1,SGR
TGF_bn150917769,train,4.7,TGF
SFLARE_bn130104992,test,5.8,SFLARE
SGR_bn221204313,train,9.2,SGR
GRB_bn120908938,other,0.0,GRB
GRB_bn240101540,other,0.0,GRB
TGF_bn171113741,other,0.0,TGF
SGR_bn221015093,train,13.9,SGR
GRB_bn090320045,other,0.0,GRB
GRB_bn240226236,train,4.9,GRB
TGF_bn201224115,train,7.4,TGF
SFLARE_bn110216067,train,5.7,SFLARE
SFLARE_bn150929278,other,0.0,SFLARE
SFLARE_bn110803292,test,5.9,SFLARE
GRB_bn150711766,other,0.0,GRB
SGR_bn120421346,train,9.6,SGR
SGR_bn220112044,train,6.1,SGR
GRB_bn180812349,train,5.1,GRB
TGF_bn140315270,train,6.4,TGF
SGR_bn181102983,train,21.4,SGR
GRB_bn130304658,other,0.0,GRB
SGR_bn160623946,train,23.0,SGR
TGF_bn150918289,train,5.2,TGF
SGR_bn160727543,train,8.1,SGR
GRB_bn120119229,train,6.4,GRB
SFLARE_bn111223803,train,5.7,SFLARE
SFLARE_bn110301143,test,6.0,SFLARE
GRB_bn190119249,train,5.3,GRB
SFLARE_bn240208490,train,6.1,SFLARE
GRB_bn110625579,other,0.0,GRB
GRB_bn210315716,other,0.0,GRB
GRB_bn151231443,other,0.0,GRB
SGR_bn100406380,test,4.7,SGR
TGF_bn231106972,train,5.1,TGF
TGF_bn180908364,test,5.5,TGF
TGF_bn120430163,train,6.3,TGF
GRB_bn230204130,train,6.1,GRB
GRB_bn110528624,other,0.0,GRB
SGR_bn200919400,test,5.7,SGR
GRB_bn130704560,train,4.8,GRB
SGR_bn200503976,test,11.1,SGR
TGF_bn091213876,train,6.0,TGF
TGF_bn140813009,train,5.7,TGF
SFLARE_bn110303997,train,5.6,SFLARE
GRB_bn180504136,test,4.6,GRB
GRB_bn210424694,other,0.0,GRB
SFLARE_bn120305164,train,5.2,SFLARE
GRB_bn140528837,other,0.0,GRB
SFLARE_bn100207334,other,0.0,SFLARE
TGF_bn091224757,train,8.4,TGF
SFLARE_bn240224468,other,0.0,SFLARE
GRB_bn140829880,train,4.8,GRB
TGF_bn100218518,train,5.8,TGF
GRB_bn131113483,other,0.0,GRB
GRB_bn151120349,other,0.0,GRB
GRB_bn210618072,other,0.0,GRB
SFLARE_bn160415046,test,5.5,SFLARE
TGF_bn200630518,train,8.1,TGF
TGF_bn201029938,train,4.7,TGF
SFLARE_bn230319164,train,6.0,SFLARE
SFLARE_bn110921475,train,5.8,SFLARE
GRB_bn210923124,train,4.6,GRB
SFLARE_bn221003643,train,6.1,SFLARE
TGF_bn120213931,other,0.0,TGF
TGF_bn220722953,train,7.9,TGF
GRB_bn091017985,train,5.7,GRB
TGF_bn200404327,train,6.4,TGF
SGR_bn210906073,train,8.2,SGR
TGF_bn160501904,train,6.4,TGF
TGF_bn091118985,test,5.6,TGF
GRB_bn160806584,other,0.0,GRB
SFLARE_bn150211222,test,5.8,SFLARE
TGF_bn221110235,train,6.2,TGF
TGF_bn140830603,train,5.8,TGF
TGF_bn160614507,train,7.5,TGF
SFLARE_bn230702969,train,5.7,SFLARE
GRB_bn090426066,train,5.2,GRB
SFLARE_bn211026115,train,6.4,SFLARE
TGF_bn190517095,train,5.9,TGF
SGR_bn160518820,train,18.2,SGR
TGF_bn130217700,train,4.8,TGF
GRB_bn121119579,train,5.1,GRB
GRB_bn130404428,train,4.9,GRB
GRB_bn161213295,train,5.2,GRB
GRB_bn101129652,train,5.7,GRB
GRB_bn191031780,other,0.0,GRB
SFLARE_bn170908232,train,6.0,SFLARE
SFLARE_bn240210092,train,6.2,SFLARE
GRB_bn130425327,train,5.4,GRB
GRB_bn111120556,test,4.6,GRB
TGF_bn180904991,test,12.3,TGF
GRB_bn200224416,other,0.0,GRB
SFLARE_bn160215781,train,4.6,SFLARE
TGF_bn101022830,train,6.3,TGF
SFLARE_bn240101511,test,5.7,SFLARE
GRB_bn140426515,train,5.2,GRB
GRB_bn130722021,other,0.0,GRB
GRB_bn101030664,test,5.0,GRB
GRB_bn100107074,test,7.6,GRB
GRB_bn170718152,other,0.0,GRB
SFLARE_bn230523509,train,5.7,SFLARE
GRB_bn090802235,train,10.6,GRB
GRB_bn180620660,other,0.0,GRB
SFLARE_bn131112902,train,5.8,SFLARE
GRB_bn120919052,train,4.7,GRB
SFLARE_bn120710840,train,6.2,SFLARE
TGF_bn120602615,train,7.4,TGF
TGF_bn160220290,test,5.7,TGF
GRB_bn150126868,test,4.7,GRB
GRB_bn190824616,train,4.9,GRB
SFLARE_bn131023220,train,5.7,SFLARE
SFLARE_bn111106614,train,6.3,SFLARE
TGF_bn140326352,test,9.4,TGF
SGR_bn191105304,train,5.7,SGR
SGR_bn210913145,train,6.1,SGR
GRB_bn150923429,test,5.2,GRB
TGF_bn130505422,train,6.1,TGF
TGF_bn150625242,train,6.1,TGF
GRB_bn210714331,other,0.0,GRB
SGR_bn221013391,test,6.9,SGR
SFLARE_bn140129148,train,5.6,SFLARE
SFLARE_bn230218773,train,5.6,SFLARE
GRB_bn120415891,train,6.2,GRB
TGF_bn100921730,train,5.3,TGF
GRB_bn090217206,other,0.0,GRB
GRB_bn140901262,train,4.5,GRB
TGF_bn181206829,train,7.7,TGF
SFLARE_bn231212150,train,6.0,SFLARE
SFLARE_bn221111482,train,5.9,SFLARE
TGF_bn190222457,test,5.3,TGF
SGR_bn160516868,train,13.1,SGR
GRB_bn130219197,test,5.1,GRB
GRB_bn101017619,train,5.1,GRB
SFLARE_bn141029278,train,5.6,SFLARE
SFLARE_bn150514312,train,6.4,SFLARE
SFLARE_bn160723086,train,8.1,SFLARE
SFLARE_bn150824313,train,8.2,SFLARE
TGF_bn231018389,train,6.3,TGF
GRB_bn150522433,train,5.6,GRB
TGF_bn130131559,train,5.5,TGF
SFLARE_bn140306391,other,0.0,SFLARE
TGF_bn221101939,test,8.2,TGF
GRB_bn210406949,other,0.0,GRB
SGR_bn220112238,train,5.5,SGR
GRB_bn200107810,other,0.0,GRB
GRB_bn121028280,other,0.0,GRB
SGR_bn200427818,train,9.8,SGR
SFLARE_bn100208222,train,6.3,SFLARE
GRB_bn150416773,other,0.0,GRB
SFLARE_bn231206235,other,0.0,SFLARE
SFLARE_bn120702211,test,5.5,SFLARE
SGR_bn221109671,train,9.4,SGR
TGF_bn150830541,train,6.3,TGF
GRB_bn160603719,other,0.0,GRB
TGF_bn220904222,train,8.0,TGF
GRB_bn090701225,train,4.7,GRB
SFLARE_bn151002266,train,6.3,SFLARE
SFLARE_bn110307328,test,5.7,SFLARE
GRB_bn190109497,test,4.7,GRB
SFLARE_bn111225852,train,5.6,SFLARE
GRB_bn110206202,other,0.0,GRB
GRB_bn140105748,other,0.0,GRB
SFLARE_bn110927584,train,6.4,SFLARE
GRB_bn210926044,train,5.1,GRB
GRB_bn100516396,train,4.7,GRB
GRB_bn180712651,train,5.1,GRB
SFLARE_bn120306169,test,6.7,SFLARE
SFLARE_bn120714205,test,5.2,SFLARE
SGR_bn210911127,test,8.4,SGR
SGR_bn221012653,train,14.5,SGR
GRB_bn100719989,other,0.0,GRB
SFLARE_bn110422577,train,5.7,SFLARE
SFLARE_bn111103463,test,5.5,SFLARE
TGF_bn221202773,test,6.8,TGF
GRB_bn120429484,test,4.5,GRB
GRB_bn181028590,train,5.2,GRB
SGR_bn160519505,train,16.6,SGR
SFLARE_bn131018129,train,5.6,SFLARE
GRB_bn090107681,train,5.0,GRB
GRB_bn131030653,train,5.0,GRB
SGR_bn200203861,train,7.5,SGR
TGF_bn170527268,train,5.2,TGF
SGR_bn191104992,train,9.3,SGR
SGR_bn221218756,train,10.4,SGR
TGF_bn190221682,other,0.0,TGF
GRB_bn170705115,test,5.1,GRB
GRB_bn231114388,other,0.0,GRB
GRB_bn130816074,other,0.0,GRB
TGF_bn200404229,other,0.0,TGF
GRB_bn100510810,train,4.6,GRB
SFLARE_bn190321613,train,5.7,SFLARE
SGR_bn211224155,train,14.2,SGR
SFLARE_bn140202101,train,4.7,SFLARE
TGF_bn161125348,test,6.9,TGF
TGF_bn170615456,train,4.9,TGF
TGF_bn180415179,train,6.2,TGF
GRB_bn110316139,other,0.0,GRB
GRB_bn220130968,train,5.3,GRB
GRB_bn190519309,other,0.0,GRB
GRB_bn200219317,train,7.0,GRB
GRB_bn220325879,train,4.8,GRB
GRB_bn110726211,train,4.8,GRB
SGR_bn221114616,train,10.7,SGR
TGF_bn170712117,test,6.8,TGF
SFLARE_bn131027021,train,4.8,SFLARE
SFLARE_bn231211364,train,5.4,SFLARE
SGR_bn210910060,test,6.6,SGR
GRB_bn100207721,train,5.0,GRB
TGF_bn201006791,other,0.0,TGF
SFLARE_bn210923192,test,5.9,SFLARE
TGF_bn240131678,train,5.1,TGF
GRB_bn160720275,test,5.0,GRB
SFLARE_bn110501973,train,5.7,SFLARE
GRB_bn120316008,train,4.7,GRB
GRB_bn150629564,test,6.4,GRB
TGF_bn171030532,train,6.4,TGF
SFLARE_bn150505575,test,6.4,SFLARE
TGF_bn150609905,train,5.1,TGF
SFLARE_bn230510133,test,5.5,SFLARE
SFLARE_bn130113349,train,5.4,SFLARE
SFLARE_bn240204302,train,6.4,SFLARE
TGF_bn160113308,train,14.1,TGF
SGR_bn221014579,train,18.5,SGR
TGF_bn170821288,train,7.2,TGF
GRB_bn090424592,test,4.9,GRB
SFLARE_bn111228693,other,0.0,SFLARE
TGF_bn210617308,other,0.0,TGF
SFLARE_bn140103534,test,5.6,SFLARE
SFLARE_bn240222932,train,5.4,SFLARE
SFLARE_bn151104568,train,5.8,SFLARE
SFLARE_bn121130051,train,5.7,SFLARE
GRB_bn171029020,other,0.0,GRB
TGF_bn200221697,train,7.4,TGF
TGF_bn170320675,train,5.0,TGF
SFLARE_bn230906390,train,5.8,SFLARE
GRB_bn120109824,train,4.7,GRB
GRB_bn170801690,train,4.5,GRB
GRB_bn190507712,other,0.0,GRB
TGF_bn121212349,train,8.1,TGF
GRB_bn230916144,other,0.0,GRB
SFLARE_bn141111721,train,4.9,SFLARE
GRB_bn180205323,train,5.2,GRB
SFLARE_bn140103838,train,4.5,SFLARE
TGF_bn190515435,train,7.7,TGF
TGF_bn221017563,train,6.9,TGF
TGF_bn160504738,train,6.1,TGF
TGF_bn190610277,train,5.4,TGF
SFLARE_bn230114532,test,6.2,SFLARE
TGF_bn130611348,train,6.0,TGF
TGF_bn130702936,train,7.4,TGF
SFLARE_bn121108098,train,4.8,SFLARE
SGR_bn221014098,train,30.2,SGR
TGF_bn140623885,train,5.4,TGF
TGF_bn140813479,train,4.6,TGF
GRB_bn090711850,other,0.0,GRB
TGF_bn160223192,train,5.5,TGF
SFLARE_bn131107603,other,0.0,SFLARE
GRB_bn120410585,train,7.4,GRB
GRB_bn150228845,train,7.2,GRB
SFLARE_bn240124066,train,6.5,SFLARE
GRB_bn110108977,other,0.0,GRB
GRB_bn150922718,test,4.9,GRB
GRB_bn220826431,test,5.2,GRB
SFLARE_bn131106367,train,5.8,SFLARE
SGR_bn200427988,train,8.3,SGR
SFLARE_bn120304540,train,6.4,SFLARE
TGF_bn111004631,test,5.6,TGF
TGF_bn170618654,train,8.1,TGF
SFLARE_bn150824651,train,6.5,SFLARE
SFLARE_bn230125156,train,5.4,SFLARE
SFLARE_bn221002582,train,6.6,SFLARE
TGF_bn190622029,test,5.8,TGF
GRB_bn100328141,other,0.0,GRB
TGF_bn160519606,test,6.1,TGF
SGR_bn211112322,train,5.8,SGR
SFLARE_bn141129608,train,5.1,SFLARE
SFLARE_bn111002632,test,6.5,SFLARE
SFLARE_bn231207934,train,5.9,SFLARE
TGF_bn140804347,train,8.9,TGF
SFLARE_bn120612095,train,6.0,SFLARE
SFLARE_bn230504121,train,5.1,SFLARE
GRB_bn120608777,test,5.0,GRB
TGF_bn130503434,test,6.2,TGF
TGF_bn140826460,train,5.4,TGF
GRB_bn160625240,other,0.0,GRB
SFLARE_bn110928520,train,5.9,SFLARE
SGR_bn200204518,train,15.6,SGR
SFLARE_bn151013052,train,4.6,SFLARE
SFLARE_bn131105948,train,5.0,SFLARE
GRB_bn230430196,other,0.0,GRB
SFLARE_bn150114081,train,6.8,SFLARE
SFLARE_bn131026399,train,4.9,SFLARE
SGR_bn210912032,train,13.4,SGR
GRB_bn190511302,test,4.9,GRB
GRB_bn110124784,train,4.6,GRB
GRB_bn211104765,train,4.8,GRB
SGR_bn210912580,train,6.5,SGR
TGF_bn150528885,train,5.2,TGF
GRB_bn130723092,train,5.3,GRB
GRB_bn090908314,other,0.0,GRB
TGF_bn180622923,train,7.5,TGF
SGR_bn210930862,train,8.0,SGR
GRB_bn120820585,other,0.0,GRB
TGF_bn201125415,test,5.6,TGF
GRB_bn170906039,other,0.0,GRB
TGF_bn140220838,train,7.5,TGF
TGF_bn180401513,train,4.7,TGF
GRB_bn090326633,other,0.0,GRB
GRB_bn150613995,train,5.3,GRB
SFLARE_bn120706068,train,5.7,SFLARE
GRB_bn110228792,test,4.6,GRB
TGF_bn200214412,train,5.0,TGF
GRB_bn120212383,other,0.0,GRB
GRB_bn220713691,train,4.9,GRB
SFLARE_bn130423181,train,5.8,SFLARE
TGF_bn200528208,train,5.3,TGF
TGF_bn211121129,test,5.1,TGF
SFLARE_bn110308103,test,5.5,SFLARE
SFLARE_bn221214610,train,6.1,SFLARE
TGF_bn220717796,train,6.2,TGF
TGF_bn230421680,train,9.7,TGF
GRB_bn090910812,train,4.6,GRB
TGF_bn151009861,test,5.5,TGF
SFLARE_bn201122317,train,4.8,SFLARE
GRB_bn081215784,other,0.0,GRB
GRB_bn120913846,test,4.6,GRB
TGF_bn150102255,train,7.8,TGF
SFLARE_bn120511733,train,6.4,SFLARE
TGF_bn170907059,train,4.8,TGF
SFLARE_bn141028173,train,4.6,SFLARE
TGF_bn180820343,other,0.0,TGF
TGF_bn200917955,train,5.5,TGF
GRB_bn150530488,train,5.1,GRB
TGF_bn121225701,train,5.2,TGF
TGF_bn191005213,train,6.7,TGF
GRB_bn220921473,other,0.0,GRB
GRB_bn090909854,other,0.0,GRB
GRB_bn150802127,train,4.6,GRB
GRB_bn090524346,other,0.0,GRB
SFLARE_bn111227092,train,4.9,SFLARE
GRB_bn120625119,other,0.0,GRB
SGR_bn150305791,test,20.9,SGR
GRB_bn160317385,other,0.0,GRB
GRB_bn110410133,other,0.0,GRB
TGF_bn120728461,train,6.0,TGF
GRB_bn090207777,train,4.5,GRB
SFLARE_bn131026465,train,5.1,SFLARE
GRB_bn110904531,train,5.9,GRB
GRB_bn221023862,test,5.0,GRB
GRB_bn121014638,train,4.7,GRB
GRB_bn170318644,train,4.7,GRB
GRB_bn150208573,other,0.0,GRB
SFLARE_bn120526672,train,5.5,SFLARE
GRB_bn210925056,other,0.0,GRB
TGF_bn210214860,other,0.0,TGF
GRB_bn100923844,test,4.5,GRB
SGR_bn160620637,train,25.1,SGR
GRB_bn101116481,train,5.2,GRB
GRB_bn210228277,other,0.0,GRB
TGF_bn200710710,train,4.9,TGF
GRB_bn110818860,train,4.9,GRB
SFLARE_bn120817717,train,4.5,SFLARE
TGF_bn180705245,train,5.8,TGF
SGR_bn160602514,train,15.6,SGR
TGF_bn101118249,train,8.1,TGF
TGF_bn181001729,train,8.0,TGF
SFLARE_bn140201766,train,4.6,SFLARE
SGR_bn090209271,train,5.8,SGR
GRB_bn100513879,train,6.0,GRB
GRB_bn140721336,test,5.1,GRB
GRB_bn131217183,train,5.3,GRB
GRB_bn211023546,test,5.2,GRB
SGR_bn221013037,test,13.9,SGR
TGF_bn160523402,train,4.9,TGF
TGF_bn200913091,train,6.7,TGF
TGF_bn221203575,other,0.0,TGF
SGR_bn180206310,train,6.0,SGR
TGF_bn170909434,other,0.0,TGF
TGF_bn191113904,other,0.0,TGF
SFLARE_bn110924197,train,5.7,SFLARE
SGR_bn130913757,train,5.7,SGR
SFLARE_bn121226205,train,5.8,SFLARE
TGF_bn200603333,train,6.1,TGF
GRB_bn150726877,train,4.7,GRB
TGF_bn160821554,train,5.9,TGF
TGF_bn221008989,train,13.6,TGF
SFLARE_bn130919958,train,6.8,SFLARE
TGF_bn100305806,train,4.9,TGF
TGF_bn130516258,train,7.4,TGF
SGR_bn210202538,train,26.1,SGR
GRB_bn140320092,train,5.6,GRB
SGR_bn221109606,train,10.1,SGR
GRB_bn141205763,train,4.8,GRB
SFLARE_bn231123300,train,5.7,SFLARE
TGF_bn230614564,train,6.3,TGF
GRB_bn131216081,other,0.0,GRB
SFLARE_bn110922551,train,5.8,SFLARE
SFLARE_bn231215319,train,4.8,SFLARE
GRB_bn140929677,other,0.0,GRB
SGR_bn210910122,train,6.0,SGR
SFLARE_bn140206475,test,4.6,SFLARE
TGF_bn170601224,train,8.2,TGF
SFLARE_bn140224900,other,0.0,SFLARE
GRB_bn130305486,train,5.4,GRB
TGF_bn111027761,test,11.2,TGF
GRB_bn150508945,other,0.0,GRB
SFLARE_bn221226424,train,6.9,SFLARE
SFLARE_bn111120224,train,5.7,SFLARE
SFLARE_bn170906629,train,6.1,SFLARE
SFLARE_bn140128536,other,0.0,SFLARE
GRB_bn090925389,train,4.9,GRB
SFLARE_bn130113034,test,5.9,SFLARE
TGF_bn140218001,train,5.9,TGF
GRB_bn130509078,train,4.8,GRB
SGR_bn200427835,train,24.9,SGR
TGF_bn230525064,train,5.6,TGF
GRB_bn141012773,train,4.6,GRB
SFLARE_bn230218930,train,5.7,SFLARE
GRB_bn210807687,train,5.1,GRB
GRB_bn140712973,other,0.0,GRB
SGR_bn210124025,train,8.4,SGR
TGF_bn190218563,other,0.0,TGF
TGF_bn150527948,other,0.0,TGF
GRB_bn140701833,train,4.9,GRB
GRB_bn221201517,test,5.7,GRB
TGF_bn230323340,train,5.0,TGF
GRB_bn120222119,test,5.2,GRB
GRB_bn141128962,train,12.7,GRB
SFLARE_bn230911251,train,5.8,SFLARE
SFLARE_bn110926973,train,5.4,SFLARE
SFLARE_bn150129515,train,5.6,SFLARE
TGF_bn190806065,train,7.3,TGF
GRB_bn190822705,train,5.5,GRB
SFLARE_bn141016366,train,5.8,SFLARE
TGF_bn180102449,train,6.6,TGF
SFLARE_bn091028818,train,5.5,SFLARE
GRB_bn130517781,train,4.7,GRB
GRB_bn130218261,other,0.0,GRB
TGF_bn190315717,test,10.2,TGF
TGF_bn110501663,train,5.7,TGF
TGF_bn230525789,train,6.3,TGF
GRB_bn130701761,train,7.3,GRB
GRB_bn210228058,train,6.5,GRB
TGF_bn170424681,other,0.0,TGF
TGF_bn101003735,train,9.1,TGF
TGF_bn121227687,train,5.5,TGF
TGF_bn180907966,train,11.3,TGF
TGF_bn190712633,train,6.9,TGF
GRB_bn091026485,train,5.7,GRB
GRB_bn100704149,other,0.0,GRB
GRB_bn160301215,other,0.0,GRB
SGR_bn220111271,train,9.2,SGR
TGF_bn100728940,train,4.9,TGF
GRB_bn160407673,other,0.0,GRB
GRB_bn161201342,train,4.9,GRB
SFLARE_bn240204768,train,7.1,SFLARE
SFLARE_bn110925193,train,5.9,SFLARE
SGR_bn220112087,train,5.7,SGR
GRB_bn150607330,train,4.7,GRB
GRB_bn170430204,train,5.5,GRB
SFLARE_bn111231680,train,5.6,SFLARE
TGF_bn110819727,train,6.9,TGF
GRB_bn141003564,train,4.6,GRB
GRB_bn091127976,train,7.0,GRB
GRB_bn090528173,train,4.5,GRB
SFLARE_bn220919102,train,6.2,SFLARE
GRB_bn150418819,other,0.0,GRB
TGF_bn121129774,other,0.0,TGF
GRB_bn190831693,other,0.0,GRB
GRB_bn120827216,other,0.0,GRB
GRB_bn100306199,train,4.7,GRB
SFLARE_bn110309452,train,5.5,SFLARE
GRB_bn230724049,other,0.0,GRB
SFLARE_bn240216292,train,5.6,SFLARE
SFLARE_bn131025873,train,4.9,SFLARE
GRB_bn190714573,other,0.0,GRB
SFLARE_bn231230893,other,0.0,SFLARE
TGF_bn100610202,train,6.1,TGF
SFLARE_bn111119931,train,4.5,SFLARE
TGF_bn111126190,train,6.6,TGF
SGR_bn200427905,train,8.3,SGR
SFLARE_bn131018213,train,5.7,SFLARE
SFLARE_bn140208733,train,5.1,SFLARE
GRB_bn100420008,other,0.0,GRB
GRB_bn180516229,other,0.0,GRB
SGR_bn210205301,train,8.8,SGR
TGF_bn190705344,train,7.5,TGF
SFLARE_bn131102197,train,4.8,SFLARE
SFLARE_bn130512849,train,4.5,SFLARE
GRB_bn170906030,train,4.5,GRB
SGR_bn210911627,train,11.2,SGR
GRB_bn200623752,other,0.0,GRB
SFLARE_bn141028348,train,5.0,SFLARE
TGF_bn150126368,test,8.1,TGF
SFLARE_bn150626280,other,0.0,SFLARE
GRB_bn120909070,test,4.6,GRB
SGR_bn150228213,train,5.8,SGR
GRB_bn130106829,train,5.0,GRB
GRB_bn160226913,train,4.8,GRB
GRB_bn220418720,train,4.7,GRB
GRB_bn090630311,test,5.4,GRB
GRB_bn230913331,other,0.0,GRB
SFLARE_bn110309920,test,6.0,SFLARE
GRB_bn231028935,other,0.0,GRB
TGF_bn140910523,test,10.8,TGF
GRB_bn160917479,other,0.0,GRB
SFLARE_bn141031349,train,4.9,SFLARE
GRB_bn150510139,other,0.0,GRB
SFLARE_bn130118070,train,4.9,SFLARE
GRB_bn180724807,test,4.5,GRB
SGR_bn210708013,train,9.6,SGR
SFLARE_bn131025114,test,7.7,SFLARE
SFLARE_bn111107131,train,6.0,SFLARE
TGF_bn120605312,train,4.6,TGF
SFLARE_bn130524690,test,6.1,SFLARE
GRB_bn131127592,train,4.8,GRB
GRB_bn190308923,train,5.5,GRB
TGF_bn210213089,test,6.7,TGF
GRB_bn170210116,train,5.1,GRB
GRB_bn130518580,other,0.0,GRB
GRB_bn220725563,other,0.0,GRB
SGR_bn221014309,train,16.4,SGR
SGR_bn210106007,train,7.9,SGR
GRB_bn140328560,train,4.8,GRB
SFLARE_bn120902755,train,4.7,SFLARE
TGF_bn211026787,train,10.5,TGF
SGR_bn201123719,train,8.3,SGR
GRB_bn211124104,other,0.0,GRB
GRB_bn081109293,other,0.0,GRB
GRB_bn210104477,other,0.0,GRB
GRB_bn150527662,other,0.0,GRB
SFLARE_bn100327330,train,5.7,SFLARE
SFLARE_bn170331241,train,5.9,SFLARE
SGR_bn220423354,train,6.4,SGR
GRB_bn100130777,test,4.7,GRB
GRB_bn110930564,test,4.8,GRB
TGF_bn240307606,train,6.1,TGF
GRB_bn100201588,test,4.8,GRB
GRB_bn170416583,other,0.0,GRB
GRB_bn201120442,other,0.0,GRB
TGF_bn210115699,train,5.2,TGF
SGR_bn160625337,train,15.4,SGR
GRB_bn220606044,train,4.9,GRB
TGF_bn150124382,other,0.0,TGF
SFLARE_bn220128813,train,10.8,SFLARE
SFLARE_bn140204977,train,5.1,SFLARE
GRB_bn100118100,train,5.4,GRB
SFLARE_bn160611552,train,5.6,SFLARE
SFLARE_bn230921538,train,6.6,SFLARE
SFLARE_bn151017149,test,4.7,SFLARE
GRB_bn081101532,train,5.0,GRB
TGF_bn231222461,test,4.4,TGF
