event_name,event_type,reliability
bn221109606,SGR,1.0
bn221109733,SGR,1.0
bn221109865,SGR,1.0
bn221109740,SGR,1.0
bn221109671,SGR,1.0
bn221115874,SGR,1.0
bn160618852,SGR,1.0
bn160626724,SGR,1.0
bn210710851,SGR,1.0
bn210710986,SGR,1.0
bn210718225,SGR,1.0
bn191104387,SGR,1.0
bn160626580,SGR,1.0
bn160826587,SGR,1.0
bn160825310,SGR,1.0
bn200510911,SGR,1.0
bn200503976,SGR,1.0
bn200427843,SGR,1.0
bn200410405,SGR,1.0
bn210707023,SGR,1.0
bn210707656,SGR,1.0
bn210708378,SGR,1.0
bn210715280,SGR,1.0
bn210715386,SGR,1.0
bn220530358,SGR,1.0
bn210711325,SGR,1.0
bn210710777,SGR,1.0
bn210718505,SGR,1.0
bn160718400,SGR,1.0
bn210709471,SGR,1.0
bn210710651,SGR,1.0
bn160623891,SGR,1.0
bn160623701,SGR,1.0
bn160602514,SGR,1.0
bn160622573,SGR,1.0
bn160519505,SGR,1.0
bn160518436,SGR,1.0
bn160518422,SGR,1.0
bn160518382,SGR,1.0
bn160520223,SGR,1.0
bn160518359,SGR,1.0
bn160514349,SGR,1.0
bn160521141,SGR,1.0
bn160521884,SGR,1.0
bn160516868,SGR,1.0
bn160626403,SGR,1.0
bn160521488,SGR,1.0
bn160625337,SGR,1.0
bn160623736,SGR,1.0
bn160623636,SGR,1.0
bn160623838,SGR,1.0
bn160623946,SGR,1.0
bn160627077,SGR,1.0
bn160626219,SGR,1.0
bn160623884,SGR,1.0
bn160623818,SGR,1.0
bn160626252,SGR,1.0
bn160521863,SGR,1.0
bn160630418,SGR,1.0
bn160721400,SGR,1.0
bn210205301,SGR,1.0
bn210202538,SGR,1.0
bn210207025,SGR,1.0
bn160805202,SGR,1.0
bn210210594,SGR,1.0
bn210712753,SGR,1.0
bn150223282,SGR,1.0
bn150223676,SGR,1.0
bn150305791,SGR,1.0
bn160201401,SGR,1.0
bn150224284,SGR,1.0
bn150224949,SGR,1.0
bn150222822,SGR,1.0
bn150223226,SGR,1.0
bn150222748,SGR,1.0
bn210911103,SGR,1.0
bn210910660,SGR,1.0
bn210910987,SGR,1.0
bn191104120,SGR,1.0
bn200427835,SGR,1.0
bn220114862,SGR,1.0
bn210708013,SGR,1.0
bn210715159,SGR,1.0
bn210909790,SGR,1.0
bn210909848,SGR,1.0
bn210910032,SGR,1.0
bn210910060,SGR,1.0
bn210910098,SGR,1.0
bn210910042,SGR,1.0
bn210910051,SGR,1.0
bn210910109,SGR,1.0
bn210910122,SGR,1.0
bn210910233,SGR,1.0
bn210910384,SGR,1.0
bn210911231,SGR,1.0
bn210911446,SGR,1.0
bn210911496,SGR,1.0
bn210911627,SGR,1.0
bn210911636,SGR,1.0
bn210911709,SGR,1.0
bn210911788,SGR,1.0
bn210911837,SGR,1.0
bn210911849,SGR,1.0
bn210911643,SGR,1.0
bn210911701,SGR,1.0
bn210912024,SGR,1.0
bn210912032,SGR,1.0
bn210911953,SGR,1.0
bn210912218,SGR,1.0
bn210912286,SGR,1.0
bn210912311,SGR,1.0
bn210912424,SGR,1.0
bn210912513,SGR,1.0
bn210913203,SGR,1.0
bn210913345,SGR,1.0
bn210911561,SGR,1.0
bn210911652,SGR,1.0
bn210911692,SGR,1.0
bn210914259,SGR,1.0
bn210913827,SGR,1.0
bn210914466,SGR,1.0
bn210916728,SGR,1.0
bn210916850,SGR,1.0
bn211007736,SGR,1.0
bn211112322,SGR,1.0
bn211224155,SGR,1.0
bn220129043,SGR,1.0
bn220120962,SGR,1.0
bn220120628,SGR,1.0
bn220114873,SGR,1.0
bn220115276,SGR,1.0
bn220114821,SGR,1.0
bn220114891,SGR,1.0
bn220114673,SGR,1.0
bn220114811,SGR,1.0
bn191029569,SGR,1.0
bn150228456,SGR,1.0
bn221110989,SGR,1.0
bn210906073,SGR,1.0
bn220112044,SGR,1.0
bn220521981,SGR,1.0
bn221014163,SGR,1.0
bn221013304,SGR,1.0
bn220111238,SGR,1.0
bn221014309,SGR,1.0
bn220115394,SGR,1.0
bn221005910,SGR,1.0
bn160715298,SGR,1.0
bn221014487,SGR,1.0
bn221014437,SGR,1.0
bn220927869,SGR,1.0
bn221013376,SGR,1.0
bn221013334,SGR,1.0
bn220114558,SGR,1.0
bn221013391,SGR,1.0
bn221014238,SGR,1.0
bn221114541,SGR,1.0
bn221012906,SGR,1.0
bn221014579,SGR,1.0
bn201115840,SGR,1.0
bn220501478,SGR,1.0
bn221014300,SGR,1.0
bn220109540,SGR,1.0
bn220603992,SGR,1.0
bn221213290,SGR,1.0
bn220111913,SGR,1.0
bn221020008,SGR,1.0
bn221018682,SGR,1.0
bn220501201,SGR,1.0
bn120421346,SGR,1.0
bn221012874,SGR,1.0
bn080828875,SGR,1.0
bn090605862,SGR,1.0
bn090605876,SGR,1.0
bn110729737,SGR,1.0
bn170713996,SGR,1.0
bn150228204,SGR,1.0
bn150228213,SGR,1.0
bn130426351,SFLARE,1.0
bn091222203,SFLARE,1.0
bn151222349,SFLARE,1.0
bn121222062,SFLARE,1.0
bn131222340,SFLARE,1.0
bn131222358,SFLARE,1.0
bn111221267,SFLARE,1.0
bn221223190,SFLARE,1.0
bn151221231,SFLARE,1.0
bn111221125,SFLARE,1.0
bn121222957,SFL,1.0
bn141220856,SFLARE,1.0
bn111223803,SFLARE,1.0
bn111220945,SFLARE,1.0
bn231221003,SFLARE,1.0
bn231220792,SFLARE,1.0
bn231220779,SFLARE,1.0
bn131219968,SFLARE,1.0
bn221224174,SFLARE,1.0
bn141220020,SFLARE,1.0
bn141220012,SFLARE,1.0
bn091218787,SFLARE,1.0
bn221225291,SFLARE,1.0
bn111225761,SFLARE,1.0
bn111225852,SFLARE,1.0
bn231226134,SFLARE,1.0
bn221226424,SFLARE,1.0
bn141217745,SFLARE,1.0
bn221217824,SFLARE,1.0
bn111226845,SFLARE,1.0
bn121226205,SFL,1.0
bn111227092,SFLARE,1.0
bn111227178,SFLARE,1.0
bn221217243,SFLARE,1.0
bn111227502,SFLARE,1.0
bn141217041,SFLARE,1.0
bn221216915,SFLARE,1.0
bn221216901,SFLARE,1.0
bn221216796,SFLARE,1.0
bn141216717,SFLARE,1.0
bn221227729,SFL,1.0
bn221227858,SFL,1.0
bn141216438,SFLARE,1.0
bn221216430,SFLARE,1.0
bn221216068,SFLARE,1.0
bn141215968,SFLARE,1.0
bn141215889,SFL,1.0
bn111228693,SFL,1.0
bn111229363,SFLARE,1.0
bn171228936,SFLARE,1.0
bn231215330,SFLARE,1.0
bn221215066,SFLARE,1.0
bn231215319,SFLARE,1.0
bn231215309,SFLARE,1.0
bn231215299,SFLARE,1.0
bn221214989,SFLARE,1.0
bn231215243,SFLARE,1.0
bn221214798,SFLARE,1.0
bn131229328,SFLARE,1.0
bn221214610,SFLARE,1.0
bn221214540,SFLARE,1.0
bn221214520,SFLARE,1.0
bn151214646,SFL,1.0
bn231214712,SFLARE,1.0
bn231214705,SFLARE,1.0
bn231214574,SFLARE,1.0
bn111230438,SFLARE,1.0
bn141214061,SFL,1.0
bn111214218,SFLARE,1.0
bn231214316,SFLARE,1.0
bn231214213,SFLARE,1.0
bn231214205,SFLARE,1.0
bn231230893,SFLARE,1.0
bn151230946,SFLARE,1.0
bn221230798,SFLARE,1.0
bn231231343,SFLARE,1.0
bn111231550,SFLARE,1.0
bn111231680,SFL,1.0
bn231231914,SFLARE,1.0
bn160101275,SFLARE,1.0
bn131231909,SFLARE,1.0
bn240101511,SFLARE,1.0
bn231212150,SFLARE,1.0
bn140101781,SFLARE,1.0
bn140101966,SFLARE,1.0
bn231211364,SFLARE,1.0
bn140102085,SFLARE,1.0
bn140102106,SFLARE,1.0
bn140102240,SFLARE,1.0
bn091210456,SFLARE,1.0
bn140102364,SFLARE,1.0
bn150102825,SFLARE,1.0
bn140102905,SFLARE,1.0
bn231210444,SFLARE,1.0
bn230103268,SFLARE,1.0
bn131209754,SFLARE,1.0
bn140103101,SFLARE,1.0
bn140103166,SFLARE,1.0
bn231210160,SFLARE,1.0
bn240104050,SFLARE,1.0
bn140103534,SFLARE,1.0
bn221209527,SFLARE,1.0
bn140103637,SFLARE,1.0
bn140103838,SFLARE,1.0
bn140103883,SFLARE,1.0
bn140104430,SFLARE,1.0
bn140104796,SFLARE,1.0
bn141208026,SFL,1.0
bn130104992,SFLARE,1.0
bn221207794,SFLARE,1.0
bn231207934,SFLARE,1.0
bn131207307,SFL,1.0
bn130105395,SFLARE,1.0
bn230106038,SFLARE,1.0
bn201206560,SFLARE,1.0
bn150106490,SFLARE,1.0
bn230106783,SFLARE,1.0
bn230107032,SFLARE,1.0
bn140106948,SFLARE,1.0
bn231206235,SFLARE,1.0
bn231205888,SFLARE,1.0
bn111205796,SFLARE,1.0
bn151205595,SFLARE,1.0
bn140107929,SFLARE,1.0
bn231205283,SFLARE,1.0
bn140108130,SFLARE,1.0
bn141204757,SFLARE,1.0
bn140108540,SFLARE,1.0
bn230109088,SFLARE,1.0
bn230109554,SFLARE,1.0
bn231204059,SFLARE,1.0
bn240110189,SFLARE,1.0
bn230110009,SFLARE,1.0
bn240110289,SFLARE,1.0
bn230110092,SFLARE,1.0
bn230110108,SFLARE,1.0
bn230110461,SFLARE,1.0
bn230110615,SFLARE,1.0
bn240110977,SFLARE,1.0
bn230110741,SFLARE,1.0
bn230110948,SFLARE,1.0
bn221202388,SFLARE,1.0
bn230111078,SFLARE,1.0
bn240111506,SFLARE,1.0
bn230111356,SFLARE,1.0
bn240111743,SFLARE,1.0
bn131201472,SFLARE,1.0
bn131201284,SFL,1.0
bn130111258,SFLARE,1.0
bn240112165,SFLARE,1.0
bn130111374,SFL,1.0
bn231201492,SFLARE,1.0
bn230112152,SFLARE,1.0
bn240112421,SFLARE,1.0
bn231201402,SFLARE,1.0
bn130111781,SFLARE,1.0
bn130111820,SFLARE,1.0
bn130112092,SFL,1.0
bn121130051,SFLARE,1.0
bn130112182,SFL,1.0
bn230112854,SFLARE,1.0
bn150113180,SFLARE,1.0
bn130112900,SFLARE,1.0
bn130113034,SFLARE,1.0
bn141129608,SFL,1.0
bn130113290,SFLARE,1.0
bn130113349,SFLARE,1.0
bn140113610,SFLARE,1.0
bn130113358,SFLARE,1.0
bn141129347,SFL,1.0
bn150114081,SFL,1.0
bn130113632,SFLARE,1.0
bn140113910,SFLARE,1.0
bn140113928,SFLARE,1.0
bn120114553,SFLARE,1.0
bn150114363,SFLARE,1.0
bn140114144,SFLARE,1.0
bn230114532,SFLARE,1.0
bn231128825,SFLARE,1.0
bn231128817,SFLARE,1.0
bn231128809,SFLARE,1.0
bn230114834,SFLARE,1.0
bn230114841,SFLARE,1.0
bn121127663,SFLARE,1.0
bn141127633,SFLARE,1.0
bn230115891,SFLARE,1.0
bn120116340,SFLARE,1.0
bn230116156,SFLARE,1.0
bn231125830,SFLARE,1.0
bn231125767,SFLARE,1.0
bn231125701,SFLARE,1.0
bn231125632,SFLARE,1.0
bn140117671,SFLARE,1.0
bn230118069,SFLARE,1.0
bn230118160,SFLARE,1.0
bn121124567,SFLARE,1.0
bn120118798,SFLARE,1.0
bn130118070,SFLARE,1.0
bn130118196,SFLARE,1.0
bn230118864,SFLARE,1.0
bn121123812,SFLARE,1.0
bn130118405,SFL,1.0
bn231123606,SFLARE,1.0
bn201122728,SFLARE,1.0
bn100119937,SFLARE,1.0
bn231123300,SFLARE,1.0
bn111123129,SFLARE,1.0
bn201122317,SFLARE,1.0
bn131122467,SFLARE,1.0
bn141122717,SFL,1.0
bn230120539,SFLARE,1.0
bn231122882,SFLARE,1.0
bn121121966,SFLARE,1.0
bn100120453,SFLARE,1.0
bn121121906,SFLARE,1.0
bn100120521,SFLARE,1.0
bn100120745,SFLARE,1.0
bn121121640,SFLARE,1.0
bn231122049,SFLARE,1.0
bn100121450,SFLARE,1.0
bn120122113,SFLARE,1.0
bn141121197,SFL,1.0
bn121120577,SFL,1.0
bn121120527,SFL,1.0
bn121120453,SFL,1.0
bn240122823,SFLARE,1.0
bn240122888,SFLARE,1.0
bn240123142,SFLARE,1.0
bn120123162,SFLARE,1.0
bn120123169,SFLARE,1.0
bn240123337,SFLARE,1.0
bn240123347,SFLARE,1.0
bn150123119,SFLARE,1.0
bn131119760,SFLARE,1.0
bn131119749,SFLARE,1.0
bn111120224,SFLARE,1.0
bn231120132,SFLARE,1.0
bn240123749,SFLARE,1.0
bn111119931,SFLARE,1.0
bn131119428,SFLARE,1.0
bn221119537,SFLARE,1.0
bn240124025,SFLARE,1.0
bn240124066,SFLARE,1.0
bn230124369,SFLARE,1.0
bn230124869,SFLARE,1.0
bn230125156,SFLARE,1.0
bn230125207,SFLARE,1.0
bn230125409,SFLARE,1.0
bn230125528,SFLARE,1.0
bn230125937,SFLARE,1.0
bn170125428,SFLARE,1.0
bn111117307,SFL,1.0
bn111116903,SFL,1.0
bn230126542,SFLARE,1.0
bn220126313,SFLARE,1.0
bn220126434,SFLARE,1.0
bn141116381,SFLARE,1.0
bn141115914,SFL,1.0
bn141115897,SFL,1.0
bn140127086,SFLARE,1.0
bn120127757,SFLARE,1.0
bn131115166,SFLARE,1.0
bn131115099,SFLARE,1.0
bn141115258,SFLARE,1.0
bn111115379,SFLARE,1.0
bn140127803,SFLARE,1.0
bn221115118,SFLARE,1.0
bn160128498,SFLARE,1.0
bn140128024,SFLARE,1.0
bn231115166,SFLARE,1.0
bn140128227,SFLARE,1.0
bn231114961,SFLARE,1.0
bn140128285,SFLARE,1.0
bn140128482,SFLARE,1.0
bn121113870,SFLARE,1.0
bn140128536,SFLARE,1.0
bn141114323,SFL,1.0
bn240129172,SFLARE,1.0
bn140128697,SFLARE,1.0
bn140128739,SFLARE,1.0
bn220128813,SFLARE,1.0
bn140128927,SFLARE,1.0
bn140128938,SFLARE,1.0
bn121113337,SFLARE,1.0
bn140129148,SFLARE,1.0
bn150129483,SFLARE,1.0
bn131113381,SFL,1.0
bn150129515,SFLARE,1.0
bn121113084,SFLARE,1.0
bn211113361,SFLARE,1.0
bn121113014,SFLARE,1.0
bn240129938,SFLARE,1.0
bn140129403,SFLARE,1.0
bn131113055,SFLARE,1.0
bn141113250,SFLARE,1.0
bn131112902,SFLARE,1.0
bn121112430,SFL,1.0
bn131112595,SFL,1.0
bn140130048,SFLARE,1.0
bn140130056,SFLARE,1.0
bn150130318,SFLARE,1.0
bn150130509,SFLARE,1.0
bn140130262,SFLARE,1.0
bn131112342,SFL,1.0
bn140130275,SFLARE,1.0
bn140130285,SFLARE,1.0
bn140130330,SFLARE,1.0
bn131112266,SFL,1.0
bn131112172,SFL,1.0
bn101112336,SFLARE,1.0
bn140130618,SFLARE,1.0
bn141111721,SFL,1.0
bn221111775,SFLARE,1.0
bn221111576,SFLARE,1.0
bn221111482,SFLARE,1.0
bn221111380,SFLARE,1.0
bn221111298,SFLARE,1.0
bn221111246,SFLARE,1.0
bn140131849,SFLARE,1.0
bn111111182,SFLARE,1.0
bn231111165,SFLARE,1.0
bn221110718,SFLARE,1.0
bn131110215,SFLARE,1.0
bn140201448,SFLARE,1.0
bn240202124,SFLARE,1.0
bn220201674,SFLARE,1.0
bn140201766,SFLARE,1.0
bn240202455,SFLARE,1.0
bn141109926,SFL,1.0
bn140202101,SFLARE,1.0
bn140202126,SFLARE,1.0
bn140202176,SFLARE,1.0
bn131109268,SFL,1.0
bn140202394,SFLARE,1.0
bn151109545,SFLARE,1.0
bn151109537,SFLARE,1.0
bn240203545,SFLARE,1.0
bn140203029,SFL,1.0
bn131108394,SFLARE,1.0
bn240203747,SFLARE,1.0
bn121108098,SFL,1.0
bn140203308,SFLARE,1.0
bn140203444,SFLARE,1.0
bn130203256,SFLARE,1.0
bn240204102,SFLARE,1.0
bn140203655,SFLARE,1.0
bn240204302,SFLARE,1.0
bn140203768,SFLARE,1.0
bn220203862,SFL,1.0
bn150204092,SFLARE,1.0
bn131107670,SFLARE,1.0
bn240204491,SFLARE,1.0
bn131107603,SFLARE,1.0
bn131107595,SFLARE,1.0
bn240204601,SFLARE,1.0
bn140204056,SFLARE,1.0
bn141107743,SFLARE,1.0
bn141107711,SFLARE,1.0
bn140204122,SFLARE,1.0
bn140204160,SFLARE,1.0
bn150204421,SFLARE,1.0
bn240204768,SFLARE,1.0
bn140204240,SFLARE,1.0
bn141107503,SFLARE,1.0
bn240204871,SFLARE,1.0
bn240204880,SFLARE,1.0
bn131107151,SFLARE,1.0
bn240205143,SFLARE,1.0
bn140204646,SFLARE,1.0
bn141107117,SFLARE,1.0
bn240205264,SFLARE,1.0
bn221107003,SFLARE,1.0
bn111107131,SFL,1.0
bn131106571,SFLARE,1.0
bn140204977,SFLARE,1.0
bn111107011,SFL,1.0
bn131106407,SFLARE,1.0
bn131106367,SFLARE,1.0
bn111106614,SFLARE,1.0
bn131106078,SFLARE,1.0
bn140205481,SFLARE,1.0
bn231106584,SFLARE,1.0
bn131105948,SFLARE,1.0
bn140205613,SFLARE,1.0
bn131105877,SFLARE,1.0
bn140205685,SFLARE,1.0
bn131105832,SFLARE,1.0
bn140205713,SFLARE,1.0
bn240206288,SFLARE,1.0
bn111106273,SFLARE,1.0
bn131105756,SFLARE,1.0
bn201105520,SFLARE,1.0
bn201105416,SFLARE,1.0
bn240206535,SFLARE,1.0
bn141105772,SFLARE,1.0
bn131105345,SFLARE,1.0
bn231105898,SFLARE,1.0
bn240206907,SFLARE,1.0
bn231105736,SFLARE,1.0
bn131105160,SFLARE,1.0
bn240207003,SFLARE,1.0
bn140206475,SFLARE,1.0
bn231105605,SFLARE,1.0
bn240207058,SFLARE,1.0
bn140206496,SFLARE,1.0
bn240207136,SFLARE,1.0
bn231105488,SFLARE,1.0
bn100206787,SFLARE,1.0
bn201104347,SFLARE,1.0
bn111104936,SFLARE,1.0
bn140207091,SFL,1.0
bn111104858,SFLARE,1.0
bn141104447,SFLARE,1.0
bn100207334,SFLARE,1.0
bn141104366,SFLARE,1.0
bn140207436,SFLARE,1.0
bn151104568,SFLARE,1.0
bn141104298,SFLARE,1.0
bn141104267,SFLARE,1.0
bn230207835,SFLARE,1.0
bn151104500,SFLARE,1.0
bn240208118,SFLARE,1.0
bn230207962,SFLARE,1.0
bn151104373,SFLARE,1.0
bn131103684,SFLARE,1.0
bn240208490,SFLARE,1.0
bn151104021,SFLARE,1.0
bn100208133,SFLARE,1.0
bn240208793,SFLARE,1.0
bn101103509,SFLARE,1.0
bn100208222,SFLARE,1.0
bn131103222,SFLARE,1.0
bn100208319,SFLARE,1.0
bn240208981,SFLARE,1.0
bn140208432,SFLARE,1.0
bn240209026,SFLARE,1.0
bn111103463,SFLARE,1.0
bn140208733,SFLARE,1.0
bn240209312,SFLARE,1.0
bn230209132,SFLARE,1.0
bn230209261,SFLARE,1.0
bn240209544,SFLARE,1.0
bn141102709,SFLARE,1.0
bn240209747,SFLARE,1.0
bn131102197,SFLARE,1.0
bn240210033,SFLARE,1.0
bn240210092,SFLARE,1.0
bn211101986,SFLARE,1.0
