event_name,event_type
bn210726106,GRB
bn130416770,GRB
bn120212383,GRB
bn100814160,GRB
bn140118064,GRB
bn111207512,GRB
bn210928084,GRB
bn121231445,GRB
bn151228129,GRB
bn090823133,GRB
bn220724988,GRB
bn130418844,GRB
bn220418720,GRB
bn180805543,GRB
bn090810781,GRB
bn120130699,GRB
bn141102112,GRB
bn100221368,GRB
bn110204179,GRB
bn211231292,GRB
bn101129652,GRB
bn130310840,GRB
bn151023104,GRB
bn110105877,GRB
bn161201342,GRB
bn100224112,GRB
bn130127743,GRB
bn130811186,GRB
bn120410585,GRB
bn220917614,GRB
bn150911588,GRB
bn121119579,GRB
bn130723092,GRB
bn140627401,GRB
bn200716060,GRB
bn191227069,GRB
bn230911686,GRB
bn160720275,GRB
bn240102125,GRB
bn150809516,GRB
bn180522607,GRB
bn180205323,GRB
bn110526715,GRB
bn101030664,GRB
bn170803729,GRB
bn160515819,GRB
bn150424403,GRB
bn120831901,GRB
bn101201418,GRB
bn111117526,GRB
bn221210108,GRB
bn210821291,GRB
bn110410133,GRB
bn110624906,GRB
bn110901230,GRB
bn100207721,GRB
bn100301068,GRB
bn181007385,GRB
bn170816258,GRB
bn100722096,GRB
bn120524134,GRB
bn150501017,GRB
bn110523344,GRB
bn210701834,GRB
bn111001804,GRB
bn130114019,GRB
bn110318552,GRB
bn100728095,GRB
bn190425089,GRB
bn170430204,GRB
bn170419898,GRB
bn140512814,GRB
bn180402406,GRB
bn111010899,GRB
bn130515430,GRB
bn220527387,GRB
bn200707072,GRB
bn110717319,GRB
bn150105257,GRB
bn081124060,GRB
bn120913997,GRB
bn221119627,GRB
bn130131511,GRB
bn130704560,GRB
bn200928290,GRB
bn220826218,GRB
bn220403424,GRB
bn180306479,GRB
bn150811849,GRB
bn231024556,GRB
bn091002685,GRB
bn080725435,GRB
bn140426515,GRB
bn110809461,GRB
bn220407167,GRB
bn160101030,GRB
bn090516853,GRB
bn160521839,GRB
bn120426585,GRB
bn140211091,GRB
bn130717734,GRB
bn160523919,GRB
bn141114687,GRB
bn231214329,GRB
bn091020977,GRB
bn190727846,GRB
bn170901255,GRB
bn150723608,GRB
bn110117626,GRB
bn140302342,GRB
bn091013989,GRB
bn140408553,GRB
bn111011094,GRB
bn230418883,GRB
bn100322045,GRB
bn240118725,GRB
bn150126868,GRB
bn171230119,GRB
bn150329288,GRB
bn120820585,GRB
bn200713919,GRB
bn150817087,GRB
bn110120666,GRB
bn130821674,GRB
bn110407998,GRB
bn100218194,GRB
bn121229533,GRB
bn211115688,GRB
bn220510147,GRB
bn121123421,GRB
bn090516353,GRB
bn220114585,GRB
bn130919173,GRB
bn090917661,GRB
bn130306991,GRB
bn200216380,GRB
bn130503214,GRB
bn230628233,GRB
bn130509839,GRB
bn151129333,GRB
bn201011837,GRB
bn110803783,GRB
bn130420343,GRB
bn101127102,GRB
bn090804940,GRB
bn150703149,GRB
bn140320092,GRB
bn110424758,GRB
bn100926694,GRB
bn200529039,GRB
bn121004211,GRB
bn151021791,GRB
bn150101641,GRB
bn140526571,GRB
bn170109137,GRB
bn090514006,GRB
bn110503145,GRB
bn110923835,GRB
bn130123843,GRB
bn110207470,GRB
bn220825082,GRB
bn230415867,GRB
bn220705282,GRB
bn140712706,GRB
bn111103441,GRB
bn171010792,GRB
bn221221915,GRB
bn120402669,GRB
bn200619252,GRB
bn100517154,GRB
bn090720276,GRB
bn140129499,GRB
bn140916234,GRB
bn151001348,GRB
bn110227420,GRB
bn130510877,GRB
bn120119170,GRB
bn090426690,GRB
bn140619475,GRB
bn141011282,GRB
bn110108977,GRB
bn151011136,GRB
bn130626452,GRB
bn150216415,GRB
bn160621497,GRB
bn181225489,GRB
bn130720582,GRB
bn090829702,GRB
bn191119261,GRB
bn120907017,GRB
bn090405663,GRB
bn160225720,GRB
bn230112829,GRB
bn081120618,GRB
bn120817057,GRB
bn180128252,GRB
bn160710233,GRB
bn170208940,GRB
bn230814788,GRB
bn190829830,GRB
bn230402314,GRB
bn140104731,GRB
bn090319622,GRB
bn190627481,GRB
bn120429003,GRB
bn140106345,GRB
bn110426629,GRB
bn081206987,GRB
bn220909286,GRB
bn220724457,GRB
bn140206275,GRB
bn120129312,GRB
bn101025146,GRB
bn090217206,GRB
bn150127398,GRB
bn160104918,GRB
bn100401297,GRB
bn210801649,GRB
bn090330279,GRB
bn100516369,GRB
bn180511364,GRB
bn130213905,GRB
bn200402824,GRB
bn190822705,GRB
bn110717180,GRB
bn141205763,GRB
bn191130507,GRB
bn160804968,GRB
bn130802730,GRB
bn190512611,GRB
bn111113410,GRB
bn200416295,GRB
bn110618760,GRB
bn101031625,GRB
bn120223933,GRB
bn120604220,GRB
bn090326633,GRB
bn170611937,GRB
bn200703341,GRB
bn090929190,GRB
bn120411925,GRB
bn211201863,GRB
bn130908677,GRB
bn120118709,GRB
bn130924255,GRB
bn160310016,GRB
bn101104810,GRB
bn150613995,GRB
bn170409112,GRB
bn111017657,GRB
bn211024065,GRB
bn100330856,GRB
bn140404900,GRB
bn140825980,GRB
bn210101861,GRB
bn110528624,GRB
bn180914522,GRB
bn090718720,GRB
bn160726065,GRB
bn150705588,GRB
bn200402688,GRB
bn230305570,GRB
bn100707032,GRB
bn090625234,GRB
bn210605622,GRB
bn170516808,GRB
bn240215648,GRB
bn210722871,GRB
bn131214705,GRB
bn140327065,GRB
bn151026169,GRB
bn190714573,GRB
bn190930400,GRB
bn201226553,GRB
bn210309999,GRB
bn110921444,GRB
bn130504314,GRB
bn201011629,GRB
bn221027173,GRB
bn131127480,GRB
bn111008992,GRB
bn150303516,GRB
bn081130629,GRB
bn170813051,GRB
bn150922234,GRB
bn201231550,GRB
bn180227211,GRB
bn240331997,GRB
bn131030791,GRB
bn230723488,GRB
bn230112342,GRB
bn221022815,GRB
bn130628531,GRB
bn150213001,GRB
bn200811632,GRB
bn211002338,GRB
bn190613449,GRB
bn100511035,GRB
bn101016243,GRB
bn131011741,GRB
bn131229277,GRB
bn100420008,GRB
bn121023322,GRB
bn180623849,GRB
bn200327873,GRB
bn220729429,GRB
bn140526449,GRB
bn130518551,GRB
bn141112828,GRB
bn100829374,GRB
bn211210937,GRB
bn190323548,GRB
bn150507026,GRB
bn210303425,GRB
bn140723067,GRB
bn090616157,GRB
bn170302719,GRB
bn211018936,GRB
bn170228794,GRB
bn120204054,GRB
bn121031949,GRB
bn110613631,GRB
bn100427356,GRB
bn180917477,GRB
bn150506972,GRB
bn210719164,GRB
bn090713020,GRB
bn150127589,GRB
bn110605780,GRB
bn121008424,GRB
bn221115018,GRB
bn131004904,GRB
bn180720598,GRB
bn150911315,GRB
bn110730660,GRB
bn160226913,GRB
bn120604343,GRB
bn090815300,GRB
bn100122616,GRB
bn181125371,GRB
bn130527627,GRB
bn130803419,GRB
bn131117766,GRB
bn220619207,GRB
bn130905377,GRB
bn100701490,GRB
bn201001416,GRB
bn141003788,GRB
bn130815660,GRB
bn120618919,GRB
bn081122614,GRB
bn121005030,GRB
bn171126216,GRB
bn170830135,GRB
bn090202347,GRB
bn200922718,GRB
bn160503567,GRB
bn091202072,GRB
bn170214649,GRB
bn140724533,GRB
bn130214137,GRB
bn100612726,GRB
bn111024896,GRB
bn141020439,GRB
bn131231198,GRB
bn150520893,GRB
bn100810049,GRB
bn210518033,GRB
bn110923481,GRB
bn150220598,GRB
bn100117879,GRB
bn131031482,GRB
bn130305526,GRB
bn170212034,GRB
bn120218276,GRB
bn131029990,GRB
bn140818781,GRB
bn120121251,GRB
bn180511606,GRB
bn210626345,GRB
bn210725158,GRB
bn120915474,GRB
bn220910242,GRB
bn141005535,GRB
bn200418865,GRB
bn180715755,GRB
bn200103689,GRB
bn100330309,GRB
bn131006840,GRB
bn180506902,GRB
bn131127592,GRB
bn190606080,GRB
bn100717372,GRB
bn120629565,GRB
bn140624423,GRB
bn130830864,GRB
bn140918379,GRB
bn150613420,GRB
bn180720213,GRB
bn101026034,GRB
bn130214800,GRB
bn141028455,GRB
bn220412713,GRB
bn200711461,GRB
bn130903033,GRB
bn130502743,GRB
bn090826068,GRB
bn130708488,GRB
bn130324042,GRB
bn230626604,GRB
bn090809978,GRB
bn090519881,GRB
bn101113483,GRB
bn100225580,GRB
bn160717813,GRB
bn100728439,GRB
bn150106921,GRB
bn100326402,GRB
bn190806535,GRB
bn181231144,GRB
bn091230260,GRB
bn210606164,GRB
bn090518080,GRB
bn160224911,GRB
bn150822178,GRB
bn140906429,GRB
bn150806348,GRB
bn220831550,GRB
bn101129726,GRB
bn240204630,GRB
bn201004094,GRB
bn150906944,GRB
bn220314898,GRB
bn230421405,GRB
bn210716485,GRB
bn120531393,GRB
bn240218084,GRB
bn110824009,GRB
bn140102887,GRB
bn210926044,GRB
bn130404428,GRB
bn141230142,GRB
bn110206202,GRB
bn110812899,GRB
bn091128285,GRB
bn160215773,GRB
bn090623913,GRB
bn120914144,GRB
bn110529811,GRB
bn101123952,GRB
bn130216790,GRB
bn170808936,GRB
bn160301215,GRB
bn210417957,GRB
bn210404141,GRB
bn110806934,GRB
bn230305052,GRB
bn141206254,GRB
bn200407265,GRB
bn220823145,GRB
bn110726211,GRB
bn101003244,GRB
bn091227294,GRB
bn180718082,GRB
bn130929375,GRB
